domaine;code;occurrences;colonnes;sources
activite_regulee;666;1194;activite.code_activite_regulee;finess_activites
activite_regulee;250;1168;activite.code_activite_regulee;finess_activites
activite_regulee;842;1160;activite.code_activite_regulee;finess_activites
activite_regulee;034;1154;activite.code_activite_regulee;finess_activites
activite_regulee;945;1132;activite.code_activite_regulee;finess_activites
activite_regulee;A0;1104;activite.code_activite_regulee;finess_activites
activite_regulee;839;1096;activite.code_activite_regulee;finess_activites
activite_regulee;QA003;1096;activite.code_activite_regulee;finess_activites
activite_regulee;03;1088;activite.code_activite_regulee;finess_activites
activite_regulee;QA011;1082;activite.code_activite_regulee;finess_activites
activite_regulee;590;1066;activite.code_activite_regulee;finess_activites
activite_regulee;234;1064;activite.code_activite_regulee;finess_activites
activite_regulee;875;1048;activite.code_activite_regulee;finess_activites
activite_regulee;935;1046;activite.code_activite_regulee;finess_activites
activite_regulee;931;1032;activite.code_activite_regulee;finess_activites
activite_regulee;04;1006;activite.code_activite_regulee;finess_activites
activite_regulee;108;1004;activite.code_activite_regulee;finess_activites
activite_regulee;900;992;activite.code_activite_regulee;finess_activites
activite_regulee;726;990;activite.code_activite_regulee;finess_activites
activite_regulee;203;984;activite.code_activite_regulee;finess_activites
activite_regulee;963;982;activite.code_activite_regulee;finess_activites
activite_regulee;934;980;activite.code_activite_regulee;finess_activites
activite_regulee;50;962;activite.code_activite_regulee;finess_activites
activite_regulee;QA014;962;activite.code_activite_regulee;finess_activites
activite_regulee;383;940;activite.code_activite_regulee;finess_activites
activite_regulee;QA040;938;activite.code_activite_regulee;finess_activites
activite_regulee;412;932;activite.code_activite_regulee;finess_activites
activite_regulee;195;914;activite.code_activite_regulee;finess_activites
activite_regulee;410;910;activite.code_activite_regulee;finess_activites
activite_regulee;208;906;activite.code_activite_regulee;finess_activites
activite_regulee;586;902;activite.code_activite_regulee;finess_activites
activite_regulee;170;874;activite.code_activite_regulee;finess_activites
activite_regulee;086;844;activite.code_activite_regulee;finess_activites
activite_regulee;198;844;activite.code_activite_regulee;finess_activites
activite_regulee;695;826;activite.code_activite_regulee;finess_activites
activite_regulee;797;816;activite.code_activite_regulee;finess_activites
activite_regulee;A6;752;activite.code_activite_regulee;finess_activites
activite_regulee;941;748;activite.code_activite_regulee;finess_activites
activite_regulee;748;742;activite.code_activite_regulee;finess_activites
activite_regulee;130;722;activite.code_activite_regulee;finess_activites
activite_regulee;127;710;activite.code_activite_regulee;finess_activites
activite_regulee;246;710;activite.code_activite_regulee;finess_activites
activite_regulee;937;698;activite.code_activite_regulee;finess_activites
activite_regulee;962;686;activite.code_activite_regulee;finess_activites
activite_regulee;07;684;activite.code_activite_regulee;finess_activites
activite_regulee;438;684;activite.code_activite_regulee;finess_activites
activite_regulee;520;652;activite.code_activite_regulee;finess_activites
activite_regulee;442;648;activite.code_activite_regulee;finess_activites
activite_regulee;302;630;activite.code_activite_regulee;finess_activites
activite_regulee;156;622;activite.code_activite_regulee;finess_activites
activite_regulee;105;620;activite.code_activite_regulee;finess_activites
activite_regulee;918;610;activite.code_activite_regulee;finess_activites
activite_regulee;164;606;activite.code_activite_regulee;finess_activites
activite_regulee;196;602;activite.code_activite_regulee;finess_activites
activite_regulee;401;592;activite.code_activite_regulee;finess_activites
activite_regulee;456;580;activite.code_activite_regulee;finess_activites
activite_regulee;225;578;activite.code_activite_regulee;finess_activites
activite_regulee;855;570;activite.code_activite_regulee;finess_activites
activite_regulee;385;564;activite.code_activite_regulee;finess_activites
activite_regulee;152;562;activite.code_activite_regulee;finess_activites
activite_regulee;106;560;activite.code_activite_regulee;finess_activites
activite_regulee;157;560;activite.code_activite_regulee;finess_activites
activite_regulee;930;556;activite.code_activite_regulee;finess_activites
activite_regulee;124;550;activite.code_activite_regulee;finess_activites
activite_regulee;112;524;activite.code_activite_regulee;finess_activites
activite_regulee;443;522;activite.code_activite_regulee;finess_activites
activite_regulee;521;522;activite.code_activite_regulee;finess_activites
activite_regulee;18;518;activite.code_activite_regulee;finess_activites
activite_regulee;838;516;activite.code_activite_regulee;finess_activites
activite_regulee;205;500;activite.code_activite_regulee;finess_activites
activite_regulee;104;498;activite.code_activite_regulee;finess_activites
activite_regulee;587;490;activite.code_activite_regulee;finess_activites
activite_regulee;870;480;activite.code_activite_regulee;finess_activites
activite_regulee;QA007;476;activite.code_activite_regulee;finess_activites
activite_regulee;141;474;activite.code_activite_regulee;finess_activites
activite_regulee;257;472;activite.code_activite_regulee;finess_activites
activite_regulee;906;464;activite.code_activite_regulee;finess_activites
activite_regulee;650;452;activite.code_activite_regulee;finess_activites
activite_regulee;241;450;activite.code_activite_regulee;finess_activites
activite_regulee;907;438;activite.code_activite_regulee;finess_activites
activite_regulee;59;436;activite.code_activite_regulee;finess_activites
activite_regulee;A5;430;activite.code_activite_regulee;finess_activites
activite_regulee;185;426;activite.code_activite_regulee;finess_activites
activite_regulee;211;422;activite.code_activite_regulee;finess_activites
activite_regulee;392;422;activite.code_activite_regulee;finess_activites
activite_regulee;654;422;activite.code_activite_regulee;finess_activites
activite_regulee;727;420;activite.code_activite_regulee;finess_activites
activite_regulee;466;418;activite.code_activite_regulee;finess_activites
activite_regulee;999;414;activite.code_activite_regulee;finess_activites
activite_regulee;377;410;activite.code_activite_regulee;finess_activites
activite_regulee;089;406;activite.code_activite_regulee;finess_activites
activite_regulee;113;396;activite.code_activite_regulee;finess_activites
activite_regulee;929;392;activite.code_activite_regulee;finess_activites
activite_regulee;083;390;activite.code_activite_regulee;finess_activites
activite_regulee;928;376;activite.code_activite_regulee;finess_activites
activite_regulee;A4;376;activite.code_activite_regulee;finess_activites
activite_regulee;312;374;activite.code_activite_regulee;finess_activites
activite_regulee;402;374;activite.code_activite_regulee;finess_activites
activite_regulee;359;372;activite.code_activite_regulee;finess_activites
activite_regulee;129;368;activite.code_activite_regulee;finess_activites
activite_regulee;743;362;activite.code_activite_regulee;finess_activites
activite_regulee;944;362;activite.code_activite_regulee;finess_activites
activite_regulee;660;360;activite.code_activite_regulee;finess_activites
activite_regulee;074;358;activite.code_activite_regulee;finess_activites
activite_regulee;510;356;activite.code_activite_regulee;finess_activites
activite_regulee;02;354;activite.code_activite_regulee;finess_activites
activite_regulee;119;348;activite.code_activite_regulee;finess_activites
activite_regulee;862;344;activite.code_activite_regulee;finess_activites
activite_regulee;058;338;activite.code_activite_regulee;finess_activites
activite_regulee;077;334;activite.code_activite_regulee;finess_activites
activite_regulee;904;330;activite.code_activite_regulee;finess_activites
activite_regulee;161;322;activite.code_activite_regulee;finess_activites
activite_regulee;437;316;activite.code_activite_regulee;finess_activites
activite_regulee;117;302;activite.code_activite_regulee;finess_activites
activite_regulee;200;302;activite.code_activite_regulee;finess_activites
activite_regulee;552;300;activite.code_activite_regulee;finess_activites
activite_regulee;035;296;activite.code_activite_regulee;finess_activites
activite_regulee;062;296;activite.code_activite_regulee;finess_activites
activite_regulee;133;292;activite.code_activite_regulee;finess_activites
activite_regulee;413;292;activite.code_activite_regulee;finess_activites
activite_regulee;187;288;activite.code_activite_regulee;finess_activites
activite_regulee;433;288;activite.code_activite_regulee;finess_activites
activite_regulee;874;276;activite.code_activite_regulee;finess_activites
activite_regulee;217;274;activite.code_activite_regulee;finess_activites
activite_regulee;744;272;activite.code_activite_regulee;finess_activites
activite_regulee;097;270;activite.code_activite_regulee;finess_activites
activite_regulee;178;268;activite.code_activite_regulee;finess_activites
activite_regulee;380;268;activite.code_activite_regulee;finess_activites
activite_regulee;555;268;activite.code_activite_regulee;finess_activites
activite_regulee;422;266;activite.code_activite_regulee;finess_activites
activite_regulee;A3;264;activite.code_activite_regulee;finess_activites
activite_regulee;081;262;activite.code_activite_regulee;finess_activites
activite_regulee;308;262;activite.code_activite_regulee;finess_activites
activite_regulee;399;262;activite.code_activite_regulee;finess_activites
activite_regulee;138;258;activite.code_activite_regulee;finess_activites
activite_regulee;078;254;activite.code_activite_regulee;finess_activites
activite_regulee;123;252;activite.code_activite_regulee;finess_activites
activite_regulee;432;252;activite.code_activite_regulee;finess_activites
activite_regulee;836;250;activite.code_activite_regulee;finess_activites
activite_regulee;207;244;activite.code_activite_regulee;finess_activites
activite_regulee;434;232;activite.code_activite_regulee;finess_activites
activite_regulee;446;228;activite.code_activite_regulee;finess_activites
activite_regulee;877;228;activite.code_activite_regulee;finess_activites
activite_regulee;691;224;activite.code_activite_regulee;finess_activites
activite_regulee;387;220;activite.code_activite_regulee;finess_activites
activite_regulee;905;220;activite.code_activite_regulee;finess_activites
activite_regulee;12;216;activite.code_activite_regulee;finess_activites
activite_regulee;QA021;214;activite.code_activite_regulee;finess_activites
activite_regulee;444;212;activite.code_activite_regulee;finess_activites
activite_regulee;142;204;activite.code_activite_regulee;finess_activites
activite_regulee;QA019;204;activite.code_activite_regulee;finess_activites
activite_regulee;147;202;activite.code_activite_regulee;finess_activites
activite_regulee;102;198;activite.code_activite_regulee;finess_activites
activite_regulee;146;198;activite.code_activite_regulee;finess_activites
activite_regulee;435;194;activite.code_activite_regulee;finess_activites
activite_regulee;158;190;activite.code_activite_regulee;finess_activites
activite_regulee;382;186;activite.code_activite_regulee;finess_activites
activite_regulee;631;178;activite.code_activite_regulee;finess_activites
activite_regulee;396;176;activite.code_activite_regulee;finess_activites
activite_regulee;193;172;activite.code_activite_regulee;finess_activites
activite_regulee;447;172;activite.code_activite_regulee;finess_activites
activite_regulee;218;166;activite.code_activite_regulee;finess_activites
activite_regulee;820;166;activite.code_activite_regulee;finess_activites
activite_regulee;416;164;activite.code_activite_regulee;finess_activites
activite_regulee;453;164;activite.code_activite_regulee;finess_activites
activite_regulee;071;162;activite.code_activite_regulee;finess_activites
activite_regulee;151;162;activite.code_activite_regulee;finess_activites
activite_regulee;745;162;activite.code_activite_regulee;finess_activites
activite_regulee;159;160;activite.code_activite_regulee;finess_activites
activite_regulee;182;160;activite.code_activite_regulee;finess_activites
activite_regulee;19;160;activite.code_activite_regulee;finess_activites
activite_regulee;415;160;activite.code_activite_regulee;finess_activites
activite_regulee;866;160;activite.code_activite_regulee;finess_activites
activite_regulee;418;158;activite.code_activite_regulee;finess_activites
activite_regulee;806;158;activite.code_activite_regulee;finess_activites
activite_regulee;821;158;activite.code_activite_regulee;finess_activites
activite_regulee;098;154;activite.code_activite_regulee;finess_activites
activite_regulee;511;154;activite.code_activite_regulee;finess_activites
activite_regulee;960;148;activite.code_activite_regulee;finess_activites
activite_regulee;752;146;activite.code_activite_regulee;finess_activites
activite_regulee;753;146;activite.code_activite_regulee;finess_activites
activite_regulee;923;144;activite.code_activite_regulee;finess_activites
activite_regulee;11;140;activite.code_activite_regulee;finess_activites
activite_regulee;861;138;activite.code_activite_regulee;finess_activites
activite_regulee;043;134;activite.code_activite_regulee;finess_activites
activite_regulee;214;134;activite.code_activite_regulee;finess_activites
activite_regulee;914;134;activite.code_activite_regulee;finess_activites
activite_regulee;048;132;activite.code_activite_regulee;finess_activites
activite_regulee;247;130;activite.code_activite_regulee;finess_activites
activite_regulee;425;130;activite.code_activite_regulee;finess_activites
activite_regulee;823;130;activite.code_activite_regulee;finess_activites
activite_regulee;168;128;activite.code_activite_regulee;finess_activites
activite_regulee;746;128;activite.code_activite_regulee;finess_activites
activite_regulee;747;128;activite.code_activite_regulee;finess_activites
activite_regulee;109;126;activite.code_activite_regulee;finess_activites
activite_regulee;426;124;activite.code_activite_regulee;finess_activites
activite_regulee;068;122;activite.code_activite_regulee;finess_activites
activite_regulee;761;122;activite.code_activite_regulee;finess_activites
activite_regulee;762;122;activite.code_activite_regulee;finess_activites
activite_regulee;607;120;activite.code_activite_regulee;finess_activites
activite_regulee;421;118;activite.code_activite_regulee;finess_activites
activite_regulee;452;118;activite.code_activite_regulee;finess_activites
activite_regulee;512;116;activite.code_activite_regulee;finess_activites
activite_regulee;411;114;activite.code_activite_regulee;finess_activites
activite_regulee;436;114;activite.code_activite_regulee;finess_activites
activite_regulee;441;114;activite.code_activite_regulee;finess_activites
activite_regulee;655;114;activite.code_activite_regulee;finess_activites
activite_regulee;085;112;activite.code_activite_regulee;finess_activites
activite_regulee;506;112;activite.code_activite_regulee;finess_activites
activite_regulee;948;112;activite.code_activite_regulee;finess_activites
activite_regulee;055;110;activite.code_activite_regulee;finess_activites
activite_regulee;149;108;activite.code_activite_regulee;finess_activites
activite_regulee;179;108;activite.code_activite_regulee;finess_activites
activite_regulee;588;108;activite.code_activite_regulee;finess_activites
activite_regulee;173;106;activite.code_activite_regulee;finess_activites
activite_regulee;381;106;activite.code_activite_regulee;finess_activites
activite_regulee;858;104;activite.code_activite_regulee;finess_activites
activite_regulee;252;102;activite.code_activite_regulee;finess_activites
activite_regulee;751;102;activite.code_activite_regulee;finess_activites
activite_regulee;045;100;activite.code_activite_regulee;finess_activites
activite_regulee;10;100;activite.code_activite_regulee;finess_activites
activite_regulee;166;100;activite.code_activite_regulee;finess_activites
activite_regulee;360;100;activite.code_activite_regulee;finess_activites
activite_regulee;428;100;activite.code_activite_regulee;finess_activites
activite_regulee;180;98;activite.code_activite_regulee;finess_activites
activite_regulee;635;98;activite.code_activite_regulee;finess_activites
activite_regulee;717;98;activite.code_activite_regulee;finess_activites
activite_regulee;938;98;activite.code_activite_regulee;finess_activites
activite_regulee;154;96;activite.code_activite_regulee;finess_activites
activite_regulee;737;96;activite.code_activite_regulee;finess_activites
activite_regulee;QA012;96;activite.code_activite_regulee;finess_activites
activite_regulee;449;92;activite.code_activite_regulee;finess_activites
activite_regulee;80;92;activite.code_activite_regulee;finess_activites
activite_regulee;039;90;activite.code_activite_regulee;finess_activites
activite_regulee;88;90;activite.code_activite_regulee;finess_activites
activite_regulee;591;86;activite.code_activite_regulee;finess_activites
activite_regulee;047;84;activite.code_activite_regulee;finess_activites
activite_regulee;55;84;activite.code_activite_regulee;finess_activites
activite_regulee;596;84;activite.code_activite_regulee;finess_activites
activite_regulee;080;82;activite.code_activite_regulee;finess_activites
activite_regulee;093;82;activite.code_activite_regulee;finess_activites
activite_regulee;303;82;activite.code_activite_regulee;finess_activites
activite_regulee;169;80;activite.code_activite_regulee;finess_activites
activite_regulee;189;80;activite.code_activite_regulee;finess_activites
activite_regulee;52;80;activite.code_activite_regulee;finess_activites
activite_regulee;556;80;activite.code_activite_regulee;finess_activites
